user_id,timestamp,dataset_source,hour,day_of_week,month,day_of_month,IsOutsideWorkHours,IsWeekend,NightShift,source_tracker,source_staff,frekuensi_aktivitas_per_user,frekuensi_per_user_per_source,pola_waktu_akses,rasio_weekend_per_user,rasio_outside_hours_per_user
7,2025-01-02 09:36:15,tracker,9,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 09:36:25,tracker,9,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
7,2025-01-02 09:36:34,tracker,9,3,1,2,0,0,0,1,0,1370,1370,2.3916018094006843,0.23284671532846715,0.0
9,2025-01-02 09:45:22,tracker,9,3,1,2,0,0,0,1,0,166,166,1.4596558182337158,0.30120481927710846,0.0
10,2025-01-02 09:49:16,tracker,9,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 09:49:19,tracker,9,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 09:52:02,tracker,9,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 09:53:01,tracker,9,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 09:53:10,tracker,9,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 09:53:40,tracker,9,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 09:56:54,tracker,9,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:02:58,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:03:07,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:05:14,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:07:52,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:10:14,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:13:47,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:13:56,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:21:29,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:22:34,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:23:47,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:27:13,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:41:09,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:41:22,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:46:35,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:46:37,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:50:49,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:50:58,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:51:12,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:51:21,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 10:51:30,tracker,10,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 12:19:58,tracker,12,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 12:49:19,tracker,12,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 12:49:28,tracker,12,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
10,2025-01-02 13:06:56,tracker,13,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
8,2025-01-02 13:24:07,tracker,13,3,1,2,0,0,0,1,0,208,208,1.3170691424429743,0.3317307692307692,0.0
10,2025-01-02 13:27:15,tracker,13,3,1,2,0,0,0,1,0,256,256,2.5336945046980803,0.22265625,0.0
